variableMetadata	mz	rt
M251.102T159	251.1016646	158.9098952
M251.131T529	251.1309263	529.0373414
M251.166T35	251.1663938	35.27291241
M252.057T82	252.0574115	82.06719144
M252.116T121	252.1156072	120.5259582
M252.151T376	252.1509802	376.3961843
M252.165T537	252.1653937	537.4089313
M252.172T329	252.1720319	329.1296625
M252.257T120	252.2567271	120.3883997
M253.118T121	253.1183561	120.5079789
M253.169T316	253.1688092	315.9024371
M253.184T732	253.1836285	732.2508118
M253.183T786	253.1833145	786.2235765
M253.953T1391	253.9532983	1390.796242
M253.959T1404	253.9588053	1404.1138
M254.187T732	254.1869276	732.2508118
M255.01T50	255.0095206	50.10405122
M255.091T571	255.0906006	570.5056376
M255.104T46	255.103605	46.27889525
M255.165T777	255.1652663	776.6435105
M255.199T884	255.1991889	883.5585935
